humidity,temperature,spo2,bp,dosha
66.9,37.57,92.0,143.96,Pitta
47.09,38.18,90.92,120.43,Pitta
37.88,37.94,91.66,127.93,Pitta
69.5,38.22,90.56,123.66,Pitta
62.59,37.48,93.43,148.86,Pitta
34.91,37.42,95.68,144.53,Kapha
32.29,36.73,92.75,122.28,Pitta
42.98,36.83,99.06,103.29,Kapha
32.43,36.22,96.43,154.08,Vata
42.92,38.15,98.28,146.81,Pitta
50.77,38.24,92.03,104.79,Pitta
61.44,37.24,99.59,141.42,Kapha
39.65,36.01,91.62,104.0,Pitta
39.96,36.24,92.22,139.49,Pitta
69.47,36.67,96.07,122.49,Kapha
41.17,36.05,96.01,133.13,Kapha
34.53,36.95,97.64,128.85,Kapha
31.15,37.81,96.14,159.76,Pitta
42.45,36.5,92.52,135.21,Pitta
33.59,37.21,95.38,123.88,Kapha
68.49,36.91,98.73,109.5,Kapha
65.06,36.21,91.4,116.78,Pitta
55.84,37.17,98.63,90.11,Kapha
46.49,37.51,94.7,110.31,Kapha
41.55,36.2,92.04,109.73,Pitta
55.67,38.12,99.87,117.98,Kapha
41.37,37.32,98.85,154.0,Kapha
46.59,36.73,92.67,99.91,Pitta
39.71,36.97,93.52,123.49,Pitta
58.99,37.56,98.66,97.23,Kapha
65.16,37.12,94.39,136.52,Kapha
48.0,38.36,91.13,96.44,Pitta
61.26,37.02,98.26,123.45,Kapha
50.53,37.39,95.77,151.86,Kapha
51.06,37.73,95.56,119.19,Kapha
63.76,36.48,98.75,135.64,Kapha
38.41,36.39,92.31,142.06,Pitta
42.68,36.77,90.43,90.71,Pitta
55.17,37.81,94.1,107.13,Kapha
54.28,36.99,93.42,111.86,Pitta
35.5,37.17,94.24,96.35,Kapha
65.22,36.78,90.49,119.82,Pitta
53.4,36.23,94.4,98.92,Kapha
48.09,36.52,96.65,126.6,Kapha
44.65,36.36,98.02,153.5,Kapha
59.72,37.02,96.55,102.06,Kapha
44.64,38.48,94.6,137.57,Pitta
50.55,37.98,90.72,149.79,Pitta
68.91,37.52,90.64,99.25,Pitta
43.29,38.37,91.81,111.29,Pitta
44.43,36.55,92.18,158.24,Pitta
62.16,37.26,97.6,151.76,Kapha
58.96,38.13,93.04,143.38,Pitta
64.15,37.76,94.45,102.28,Kapha
37.68,36.02,91.15,98.98,Pitta
48.55,36.86,98.76,159.5,Kapha
38.29,37.35,99.48,113.16,Kapha
51.2,36.85,96.03,130.75,Kapha
49.53,36.4,97.5,149.77,Kapha
63.95,36.98,90.56,96.18,Pitta
49.53,38.2,90.14,155.48,Pitta
44.87,37.43,93.56,148.24,Pitta
43.58,36.39,90.84,119.97,Pitta
30.18,36.06,92.7,97.69,Pitta
39.8,38.12,90.47,116.48,Pitta
42.82,37.68,97.6,117.92,Kapha
33.11,37.55,93.61,100.23,Pitta
57.68,37.02,95.45,107.95,Kapha
48.56,36.35,97.86,93.38,Kapha
48.63,36.54,99.38,157.67,Kapha
55.2,36.79,96.43,90.52,Kapha
36.71,38.01,94.28,147.58,Pitta
36.67,38.34,92.72,109.27,Pitta
58.14,36.4,95.9,106.6,Kapha
68.27,38.5,99.95,146.33,Pitta
59.99,37.42,98.96,152.79,Kapha
49.0,38.2,93.47,151.21,Pitta
46.07,36.53,94.03,98.05,Kapha
69.83,36.9,92.93,101.95,Pitta
45.67,37.37,99.88,127.69,Kapha
38.88,37.47,94.62,112.38,Kapha
54.6,38.49,95.9,139.94,Pitta
63.65,37.82,95.99,109.86,Kapha
52.55,36.02,96.8,130.16,Kapha
69.25,38.38,96.31,102.25,Kapha
56.1,36.12,97.12,97.5,Kapha
40.78,38.1,95.13,155.94,Pitta
60.79,37.83,99.72,133.72,Pitta
46.12,37.67,99.86,137.35,Pitta
63.92,38.15,96.04,101.21,Kapha
46.6,37.65,97.85,108.09,Kapha
58.16,37.8,90.71,105.52,Pitta
33.47,36.83,97.14,116.08,Kapha
56.8,37.0,96.93,128.39,Kapha
42.74,37.24,98.45,125.85,Kapha
63.7,38.23,98.38,136.06,Pitta
41.78,38.13,91.32,113.32,Pitta
51.77,37.91,98.21,119.88,Kapha
34.18,38.49,96.12,128.92,Kapha
37.1,36.79,99.84,146.95,Kapha
33.55,36.94,94.92,91.83,Kapha
43.39,38.19,93.73,105.21,Pitta
55.31,37.16,98.52,106.73,Kapha
55.49,37.6,95.47,153.89,Pitta
51.25,37.07,92.38,149.65,Pitta
45.46,36.45,93.88,140.36,Pitta
53.27,36.52,94.66,147.78,Kapha
49.31,37.84,96.67,140.86,Pitta
43.46,36.48,94.47,141.92,Kapha
40.65,37.89,98.33,102.12,Kapha
43.04,38.02,90.27,154.71,Pitta
43.73,36.1,95.24,108.04,Kapha
32.82,36.04,99.05,118.16,Vata
54.04,36.79,92.27,109.86,Pitta
56.68,36.54,94.34,124.35,Kapha
60.55,37.7,99.61,117.46,Kapha
55.71,36.61,90.99,152.99,Pitta
48.41,36.31,99.91,120.74,Kapha
42.98,37.15,95.13,144.33,Kapha
33.35,37.9,92.25,142.18,Pitta
66.74,36.78,97.41,138.95,Kapha
31.95,37.96,97.15,135.08,Pitta
41.27,37.11,92.98,102.82,Pitta
37.71,37.51,98.69,155.03,Pitta
58.59,37.59,95.54,121.61,Kapha
43.42,36.95,95.87,149.38,Kapha
50.75,37.75,90.31,132.96,Pitta
66.32,36.05,90.18,108.99,Pitta
68.1,36.54,99.87,95.42,Kapha
40.45,36.83,99.94,150.6,Kapha
41.4,38.24,98.29,108.19,Kapha
67.2,37.08,96.06,121.96,Kapha
68.16,36.36,90.6,118.92,Pitta
49.35,38.44,90.09,105.22,Pitta
68.53,37.51,96.36,135.78,Pitta
68.26,38.09,97.44,119.35,Kapha
66.38,36.19,95.82,143.07,Kapha
65.82,37.08,93.83,149.27,Pitta
41.5,37.76,93.67,141.68,Pitta
35.02,37.5,92.78,144.3,Pitta
33.82,37.81,93.97,129.49,Pitta
68.18,37.96,90.39,132.09,Pitta
42.71,36.66,91.8,143.54,Pitta
55.69,36.42,96.12,156.73,Kapha
66.03,36.16,95.24,145.41,Kapha
38.78,37.79,96.13,145.73,Pitta
41.38,37.93,95.69,115.61,Kapha
42.44,37.87,90.33,103.01,Pitta
31.48,37.26,98.12,132.63,Kapha
36.88,36.07,96.93,114.39,Vata
63.56,38.11,93.64,93.09,Pitta
46.4,36.26,91.58,90.37,Pitta
37.08,37.74,95.17,151.46,Pitta
66.44,38.27,96.18,120.69,Kapha
37.18,37.46,92.8,98.64,Pitta
30.99,38.48,98.86,114.38,Kapha
64.76,38.24,97.56,128.36,Kapha
60.35,38.12,92.86,107.81,Pitta
64.97,37.35,90.48,139.07,Pitta
67.72,37.14,95.48,128.25,Kapha
39.33,36.56,93.64,119.05,Pitta
47.02,38.26,90.38,157.27,Pitta
47.01,36.05,98.89,149.51,Kapha
57.17,37.0,94.27,137.25,Kapha
43.1,37.04,96.09,148.73,Kapha
51.23,38.32,95.42,134.0,Pitta
45.04,37.52,97.39,105.01,Kapha
45.59,36.08,91.31,109.74,Pitta
57.73,36.67,91.0,127.96,Pitta
31.65,38.34,94.67,144.22,Pitta
44.65,37.74,96.79,113.76,Kapha
32.82,38.45,90.85,112.27,Pitta
54.45,37.72,90.52,145.8,Pitta
55.11,38.27,96.03,127.56,Kapha
48.5,37.49,97.77,97.01,Kapha
63.92,37.59,93.19,129.73,Pitta
61.87,37.61,94.18,103.52,Kapha
50.92,37.95,96.7,103.05,Kapha
38.56,37.77,94.9,101.55,Kapha
62.45,38.07,97.5,105.11,Kapha
38.33,36.66,92.96,104.09,Pitta
40.19,36.06,97.7,133.89,Kapha
58.47,36.32,99.41,92.9,Kapha
57.09,37.33,99.09,119.84,Kapha
49.27,36.8,90.78,129.8,Pitta
60.75,37.77,90.62,120.56,Pitta
60.3,36.66,96.02,100.72,Kapha
36.87,36.84,93.69,100.82,Pitta
45.61,37.28,99.94,97.9,Kapha
32.86,36.78,91.37,121.77,Pitta
63.31,37.46,96.83,111.49,Kapha
30.74,37.7,95.43,122.51,Kapha
66.37,37.55,92.74,139.37,Pitta
38.37,36.12,99.19,90.52,Vata
59.99,37.9,90.61,110.35,Pitta
63.98,36.94,94.22,90.36,Kapha
61.44,38.37,94.76,145.29,Pitta
66.15,37.35,90.6,128.54,Pitta
35.34,38.19,98.56,98.49,Kapha
45.72,36.06,91.22,146.68,Pitta
69.4,37.19,96.75,135.7,Kapha
49.53,37.3,98.15,124.77,Kapha
69.87,36.29,98.95,121.97,Kapha
67.2,36.04,97.08,102.78,Kapha
43.92,37.97,95.55,140.9,Pitta
40.38,37.04,92.11,134.76,Pitta
64.21,37.99,94.75,105.54,Kapha
60.59,36.92,93.66,105.75,Pitta
44.93,37.57,97.86,141.02,Pitta
43.8,36.81,95.93,118.51,Kapha
47.9,37.04,97.73,93.99,Kapha
35.39,36.06,95.18,112.6,Vata
40.93,37.11,93.14,147.84,Pitta
33.15,36.48,90.68,150.45,Pitta
41.06,38.09,92.42,113.5,Pitta
59.82,37.64,94.43,115.51,Kapha
44.94,36.94,91.29,144.77,Pitta
30.59,37.42,90.77,122.16,Pitta
30.07,37.74,95.91,120.74,Kapha
55.82,37.01,96.92,159.35,Kapha
39.52,37.63,95.66,118.18,Kapha
44.37,37.91,90.66,144.47,Pitta
33.29,36.12,96.28,91.23,Vata
34.68,37.2,96.61,149.91,Kapha
59.15,36.23,96.32,130.5,Kapha
63.68,36.44,95.27,145.98,Kapha
53.35,38.06,90.17,108.25,Pitta
56.14,37.88,91.28,90.03,Pitta
63.71,37.19,99.46,155.59,Kapha
36.0,37.93,97.55,122.49,Kapha
35.74,37.57,91.96,113.24,Pitta
55.23,37.09,92.35,142.69,Pitta
65.05,36.1,90.52,115.61,Pitta
30.85,37.78,97.07,143.79,Pitta
32.22,38.27,91.56,99.93,Pitta
43.52,37.13,92.25,95.57,Pitta
68.89,37.6,91.07,93.04,Pitta
50.51,37.03,97.6,96.03,Kapha
69.28,37.75,93.21,123.48,Pitta
63.24,36.04,96.84,136.06,Kapha
30.79,37.3,99.99,124.47,Kapha
60.67,36.7,99.01,109.57,Kapha
45.02,38.41,92.54,104.57,Pitta
33.38,37.76,92.9,141.52,Pitta
53.85,36.51,94.3,151.93,Kapha
30.65,36.27,90.72,143.74,Pitta
64.98,36.85,95.78,119.49,Kapha
32.38,37.39,95.66,138.59,Kapha
44.61,38.49,92.74,139.79,Pitta
62.72,36.09,92.56,158.86,Pitta
60.04,38.25,99.95,117.71,Kapha
53.79,36.15,94.35,107.41,Kapha
57.0,36.58,90.21,114.55,Pitta
63.27,37.92,98.04,135.34,Pitta
65.76,36.29,92.95,158.12,Pitta
32.26,37.76,93.03,110.58,Pitta
35.06,36.69,97.59,128.05,Kapha
64.06,37.15,91.11,140.87,Pitta
53.23,36.89,96.83,147.97,Kapha
45.39,36.05,95.82,138.3,Kapha
51.29,37.3,95.79,125.12,Kapha
64.52,36.02,96.75,125.87,Kapha
68.12,37.78,90.53,130.3,Pitta
49.1,36.63,90.64,107.53,Pitta
37.37,36.18,94.3,105.05,Vata
36.3,37.48,95.24,112.09,Kapha
45.19,37.51,97.13,146.9,Pitta
47.71,36.2,92.04,90.91,Pitta
63.89,37.73,94.72,91.74,Kapha
42.36,37.4,95.99,154.63,Kapha
48.83,36.37,91.84,144.23,Pitta
60.09,37.56,97.3,124.61,Kapha
44.35,37.52,92.76,97.86,Pitta
67.61,38.2,93.11,154.11,Pitta
38.62,37.86,99.75,123.45,Kapha
38.5,37.79,96.3,159.58,Pitta
56.72,36.64,90.1,118.03,Pitta
46.07,36.45,90.52,140.03,Pitta
33.17,37.23,93.19,102.78,Pitta
32.58,36.16,97.84,159.49,Vata
30.71,38.3,97.83,96.84,Kapha
59.75,38.0,96.88,113.68,Kapha
42.17,37.8,98.24,126.99,Kapha
66.64,36.04,98.98,154.22,Kapha
44.09,38.47,93.89,98.18,Pitta
49.97,36.01,95.8,109.22,Kapha
57.73,37.27,99.44,130.81,Kapha
36.71,37.3,92.03,123.65,Pitta
54.72,36.64,99.18,130.32,Kapha
39.04,36.2,90.24,158.38,Pitta
33.38,37.69,96.86,140.22,Pitta
46.15,38.23,93.64,90.85,Pitta
37.27,36.13,95.08,109.89,Vata
43.09,36.82,98.65,119.4,Kapha
34.71,36.23,99.92,145.3,Vata
58.96,36.07,92.33,136.17,Pitta
54.8,36.05,99.35,126.54,Kapha
56.38,37.75,91.81,128.4,Pitta
58.52,36.53,94.04,120.27,Kapha
47.25,36.65,97.3,144.05,Kapha
48.91,36.44,97.71,114.96,Kapha
43.66,37.3,96.83,159.44,Kapha
59.49,38.18,98.37,138.11,Pitta
61.26,37.45,92.57,102.56,Pitta
37.81,37.37,99.85,111.77,Kapha
68.4,37.07,97.95,110.82,Kapha
47.88,37.3,97.67,129.09,Kapha
33.35,38.18,97.63,97.93,Kapha
57.28,38.12,90.1,140.32,Pitta
30.75,38.34,97.89,113.96,Kapha
64.81,37.26,96.17,123.81,Kapha
50.86,36.02,93.23,159.14,Pitta
38.52,37.37,91.12,156.64,Pitta
60.98,37.12,90.36,92.42,Pitta
62.95,38.29,98.19,147.98,Pitta
56.13,36.59,91.01,155.24,Pitta
39.01,36.9,95.79,118.28,Kapha
48.0,36.63,96.73,123.68,Kapha
40.59,36.02,99.08,101.57,Kapha
56.84,36.03,93.52,135.36,Pitta
40.2,37.15,94.07,106.55,Kapha
33.79,37.72,93.51,108.27,Pitta
51.91,36.79,97.93,93.87,Kapha
53.15,38.11,95.3,99.52,Kapha
30.85,37.47,99.94,135.3,Kapha
40.23,37.03,97.39,138.71,Kapha
59.68,37.18,97.84,105.93,Kapha
35.07,37.49,95.44,102.06,Kapha
37.75,36.72,90.11,94.27,Pitta
35.23,37.2,98.06,107.6,Kapha
64.89,36.91,94.09,93.14,Kapha
64.99,38.14,93.38,116.67,Pitta
39.72,36.6,98.51,144.09,Kapha
50.5,37.94,95.38,159.14,Pitta
50.81,37.09,96.76,125.54,Kapha
64.26,38.35,94.28,106.76,Kapha
46.84,37.45,97.6,126.06,Kapha
50.13,37.06,94.06,127.68,Kapha
55.67,38.5,95.66,90.85,Kapha
59.2,37.35,98.4,114.9,Kapha
48.41,38.12,96.83,129.9,Kapha
32.32,37.77,99.63,127.63,Kapha
56.87,38.16,99.41,130.62,Pitta
61.41,37.04,99.75,124.54,Kapha
66.14,37.27,90.98,148.05,Pitta
54.96,38.15,99.63,102.55,Kapha
37.37,37.24,97.9,107.13,Kapha
64.71,36.48,98.51,128.33,Kapha
36.29,37.96,90.21,159.26,Pitta
31.26,37.66,95.6,138.24,Pitta
69.81,37.09,96.04,139.54,Kapha
50.96,37.32,97.84,96.45,Kapha
32.62,38.07,92.54,132.36,Pitta
67.04,36.14,98.53,92.83,Kapha
45.12,38.4,98.43,132.1,Pitta
40.07,37.59,95.51,91.8,Kapha
50.95,37.65,95.27,149.24,Pitta
68.33,36.28,95.38,158.91,Kapha
41.58,37.85,90.29,115.86,Pitta
40.74,36.38,97.94,144.51,Kapha
41.65,38.45,91.86,139.11,Pitta
44.79,36.68,96.64,124.91,Kapha
68.52,37.86,91.45,92.46,Pitta
32.22,36.95,90.51,116.48,Pitta
58.59,38.33,92.28,90.26,Pitta
35.6,36.06,91.84,126.86,Pitta
48.45,37.82,98.07,147.85,Pitta
67.31,36.12,91.93,97.66,Pitta
52.0,37.25,99.82,96.3,Kapha
31.91,37.6,98.84,94.7,Kapha
41.31,38.07,98.28,116.11,Kapha
54.66,36.57,91.99,94.8,Pitta
43.49,36.28,94.56,137.96,Kapha
60.99,37.04,98.64,106.25,Kapha
67.49,36.77,97.42,111.78,Kapha
55.88,37.26,97.24,95.88,Kapha
59.81,36.74,90.67,153.91,Pitta
64.74,36.93,97.05,120.26,Kapha
34.43,37.12,99.07,99.57,Kapha
42.15,38.07,98.83,114.79,Kapha
51.32,36.24,98.62,154.34,Kapha
65.02,36.94,95.31,128.81,Kapha
31.47,37.08,98.85,158.61,Kapha
69.84,38.5,94.68,95.31,Kapha
57.18,37.83,92.36,151.12,Pitta
36.37,36.19,90.91,115.96,Pitta
33.13,37.68,94.58,153.9,Pitta
33.54,38.03,97.81,93.46,Kapha
63.73,36.88,93.68,90.18,Pitta
60.39,38.05,97.66,138.06,Pitta
45.37,36.19,99.71,150.22,Kapha
39.91,38.45,90.37,115.05,Pitta
60.0,36.54,94.99,144.65,Kapha
57.83,36.48,96.89,152.06,Kapha
57.76,37.43,94.37,142.85,Kapha
50.84,36.07,90.79,144.57,Pitta
59.56,37.87,96.87,122.11,Kapha
44.54,36.78,98.52,99.08,Kapha
30.94,37.63,91.52,133.27,Pitta
67.83,36.26,95.22,102.42,Kapha
46.59,37.16,98.11,111.14,Kapha
37.1,37.91,98.13,107.2,Kapha
43.18,36.55,96.22,101.07,Kapha
68.04,38.32,90.83,103.41,Pitta
64.79,37.19,90.15,147.54,Pitta
69.96,38.3,91.63,155.93,Pitta
61.12,36.42,90.97,110.7,Pitta
46.19,37.9,93.09,114.43,Pitta
47.3,36.35,98.55,97.46,Kapha
67.88,37.35,90.68,144.47,Pitta
46.91,37.95,95.9,150.67,Pitta
60.97,38.25,95.76,159.22,Pitta
42.82,37.63,95.53,107.44,Kapha
47.03,37.63,91.35,121.46,Pitta
56.11,36.08,90.33,141.93,Pitta
32.4,37.74,94.83,99.27,Kapha
40.68,37.22,96.02,138.38,Kapha
56.5,36.91,99.75,93.89,Kapha
40.69,36.88,93.37,122.32,Pitta
40.6,36.0,98.57,98.79,Kapha
66.25,37.39,97.53,140.15,Kapha
58.54,36.68,91.83,107.97,Pitta
32.28,37.11,95.84,152.34,Kapha
61.09,36.97,96.8,96.47,Kapha
53.06,37.33,91.5,102.99,Pitta
30.01,38.34,93.25,123.21,Pitta
35.97,37.86,95.35,113.12,Kapha
48.75,37.97,95.51,139.18,Pitta
39.37,38.03,95.14,121.5,Kapha
51.78,38.32,93.48,96.67,Pitta
60.9,38.24,96.98,116.71,Kapha
52.39,37.93,94.57,118.77,Kapha
36.49,36.6,96.26,93.24,Kapha
60.99,37.28,93.13,90.78,Pitta
58.6,36.06,91.94,104.01,Pitta
68.39,37.81,94.16,106.48,Kapha
60.03,36.85,90.21,124.74,Pitta
54.78,38.19,95.39,121.45,Kapha
49.47,37.7,95.75,125.74,Kapha
47.25,36.26,99.18,120.69,Kapha
51.13,36.89,98.96,150.34,Kapha
48.36,36.77,95.13,155.36,Kapha
35.76,36.6,92.96,140.74,Pitta
46.31,36.12,90.49,148.1,Pitta
68.94,38.22,93.56,127.09,Pitta
40.51,36.09,94.21,91.4,Kapha
56.64,36.06,90.42,151.78,Pitta
47.27,37.42,91.6,130.67,Pitta
33.4,37.76,90.1,151.42,Pitta
56.28,37.69,98.27,143.06,Pitta
65.0,37.3,95.71,137.51,Kapha
39.24,38.14,92.09,111.35,Pitta
69.46,37.95,95.84,151.98,Pitta
37.09,36.42,99.36,154.31,Vata
45.56,36.96,93.78,143.37,Pitta
33.09,37.2,94.61,102.3,Kapha
57.82,36.95,97.76,110.96,Kapha
68.46,37.7,94.23,93.3,Kapha
54.72,37.41,95.13,119.69,Kapha
54.92,38.17,91.66,127.32,Pitta
57.13,38.06,90.54,92.33,Pitta
44.09,38.11,98.34,146.77,Pitta
44.3,37.76,92.07,121.55,Pitta
59.4,38.0,98.28,121.51,Kapha
67.61,38.07,91.71,122.09,Pitta
55.28,36.15,94.15,96.95,Kapha
30.38,37.67,95.19,121.81,Kapha
35.57,37.51,90.83,128.22,Pitta
47.96,38.46,90.45,100.21,Pitta
47.82,37.42,98.39,113.7,Kapha
30.82,37.89,92.53,126.94,Pitta
47.06,36.59,97.91,93.08,Kapha
60.14,38.5,93.34,136.5,Pitta
40.78,38.16,90.05,97.39,Pitta
58.88,36.53,98.6,117.36,Kapha
38.89,36.14,92.33,106.78,Pitta
52.6,37.86,91.41,98.13,Pitta
63.65,37.42,93.71,94.2,Pitta
44.3,36.58,95.82,97.11,Kapha
60.98,36.58,94.42,142.39,Kapha
41.09,37.15,90.62,130.7,Pitta
53.46,37.22,95.64,96.84,Kapha
38.6,37.13,95.87,96.13,Kapha
44.38,37.2,94.73,139.29,Kapha
42.08,37.66,93.28,131.1,Pitta
63.89,38.36,90.69,124.3,Pitta
41.84,36.02,92.29,98.58,Pitta
69.26,38.33,97.45,119.62,Kapha
63.51,36.86,98.01,125.11,Kapha
35.03,36.36,99.06,118.07,Vata
35.98,38.35,96.83,132.04,Pitta
67.49,38.05,99.71,116.68,Kapha
31.6,38.15,91.84,105.77,Pitta
35.79,37.79,90.19,115.23,Pitta
66.39,36.4,91.98,134.5,Pitta
51.5,36.01,92.88,95.45,Pitta
50.2,37.31,94.78,118.25,Kapha
35.99,36.86,97.46,157.45,Kapha
31.65,37.48,90.67,151.91,Pitta
51.17,37.34,96.59,158.07,Kapha
58.73,36.31,96.7,123.97,Kapha
36.67,37.78,91.78,141.52,Pitta
63.41,37.08,95.65,93.19,Kapha
35.33,37.71,93.49,96.65,Pitta
61.12,38.07,99.43,106.37,Kapha
49.5,37.92,99.88,92.03,Kapha
37.33,36.68,92.74,113.58,Pitta
45.84,37.76,99.98,145.82,Pitta
42.76,37.18,99.72,99.2,Kapha
47.83,38.18,94.84,122.51,Kapha
59.26,36.81,97.85,118.34,Kapha
44.46,38.01,91.95,114.12,Pitta
63.6,36.71,90.59,114.53,Pitta
68.03,37.73,90.05,121.71,Pitta
49.32,36.06,93.62,101.51,Pitta
54.92,37.25,95.55,128.15,Kapha
52.3,38.08,98.9,156.61,Pitta
34.94,36.54,97.94,135.12,Kapha
55.93,37.54,92.35,119.65,Pitta
51.62,36.69,92.39,132.68,Pitta
47.88,37.65,97.03,151.3,Pitta
50.0,37.84,90.89,105.05,Pitta
37.91,38.24,98.96,148.55,Pitta
33.74,36.31,91.06,104.29,Pitta
37.09,37.94,98.88,121.37,Kapha
69.16,36.99,95.47,151.69,Kapha
54.57,38.06,96.48,147.11,Pitta
68.01,36.39,90.22,129.11,Pitta
65.04,36.03,94.26,121.02,Kapha
52.42,37.98,96.79,95.62,Kapha
44.8,37.1,96.89,142.83,Kapha
66.77,36.01,91.09,99.21,Pitta
69.99,38.01,92.82,93.23,Pitta
52.54,36.38,90.05,144.55,Pitta
33.24,37.98,99.73,121.94,Kapha
68.65,37.48,98.98,154.49,Kapha
39.05,37.36,91.57,93.88,Pitta
61.55,36.7,97.7,131.22,Kapha
55.32,37.1,90.41,131.7,Pitta
34.17,37.02,98.17,139.41,Kapha
44.77,37.29,95.02,114.71,Kapha
61.47,36.11,97.84,110.95,Kapha
65.79,37.26,94.61,114.33,Kapha
46.39,36.93,93.23,92.65,Pitta
31.44,37.65,97.53,146.11,Pitta
57.19,38.01,90.72,157.59,Pitta
40.61,38.3,97.64,97.83,Kapha
55.14,38.11,93.67,120.8,Pitta
49.77,36.42,94.65,120.61,Kapha
45.06,38.3,95.76,114.45,Kapha
65.53,37.13,90.22,158.27,Pitta
53.97,37.73,92.72,108.16,Pitta
55.23,37.78,94.55,133.72,Pitta
52.24,36.71,90.19,129.81,Pitta
63.99,38.31,97.19,124.93,Kapha
33.29,37.28,97.94,125.62,Kapha
66.4,37.79,91.7,106.9,Pitta
43.96,37.11,91.4,123.95,Pitta
63.2,37.19,92.8,156.29,Pitta
46.57,37.41,96.1,118.28,Kapha
63.34,36.27,93.86,125.2,Pitta
59.48,37.59,92.2,144.3,Pitta
57.49,37.91,97.02,157.51,Pitta
43.85,37.94,98.87,114.3,Kapha
30.48,37.74,96.21,151.43,Pitta
54.96,37.59,90.18,103.08,Pitta
64.22,36.77,97.44,126.31,Kapha
51.59,36.51,91.08,129.24,Pitta
34.92,36.08,91.69,102.58,Pitta
66.23,37.04,94.13,105.45,Kapha
34.53,36.48,90.74,129.82,Pitta
69.22,38.37,90.92,115.45,Pitta
37.31,36.59,95.64,133.86,Kapha
45.83,37.72,98.39,141.25,Pitta
50.08,36.3,94.59,132.33,Kapha
51.83,38.16,96.71,94.97,Kapha
64.91,36.74,93.0,132.31,Pitta
40.33,36.97,96.32,120.35,Kapha
61.77,36.37,96.81,155.88,Kapha
51.12,38.34,94.44,125.09,Kapha
63.25,36.76,98.77,92.63,Kapha
47.16,38.43,99.75,108.93,Kapha
35.8,37.24,95.79,100.76,Kapha
57.94,37.56,93.98,158.15,Pitta
43.34,36.11,92.6,103.76,Pitta
66.82,36.04,90.11,137.31,Pitta
53.59,38.01,92.18,151.61,Pitta
62.6,37.37,99.91,138.85,Kapha
57.93,37.33,96.55,131.12,Kapha
68.69,36.29,97.03,135.84,Kapha
33.38,38.36,92.69,99.2,Pitta
58.73,36.1,92.62,110.58,Pitta
61.83,37.49,98.28,103.86,Kapha
56.07,36.54,93.49,99.73,Pitta
67.31,37.18,98.91,158.59,Kapha
31.49,38.04,90.92,104.98,Pitta
68.57,38.32,91.1,118.78,Pitta
67.51,36.13,95.95,107.91,Kapha
47.51,38.47,94.54,154.99,Pitta
48.94,36.02,94.44,142.46,Kapha
60.52,36.35,92.77,134.46,Pitta
51.49,37.39,95.73,140.29,Kapha
30.58,37.15,90.83,95.37,Pitta
59.11,36.33,97.65,117.65,Kapha
62.33,36.67,91.01,116.76,Pitta
60.8,37.09,91.45,90.24,Pitta
57.09,37.96,98.45,131.73,Pitta
48.53,38.26,99.69,140.13,Pitta
42.3,37.03,98.94,129.69,Kapha
38.84,37.24,91.91,107.7,Pitta
53.27,36.55,90.61,139.17,Pitta
53.98,37.86,99.78,126.06,Kapha
52.83,37.87,95.11,110.12,Kapha
38.55,36.76,91.14,130.82,Pitta
38.22,37.42,97.81,149.78,Kapha
34.11,36.64,91.82,148.74,Pitta
